Headlines,Summary,Time
"Pakistan urges direct talks with Afghanistan on bilateral matters
","ISLAMABAD: Any reservations Afghanistan has with Pakistan should be resolved bilaterally rather than involving the...
",2020-03-03
"Battling for women rights online in midst of patriarchy
","DRF founder Nighat Dad has won international acclaim for her work   
",2020-03-03
"Baloch culture day celebrated across Balochistan
","People wearing traditio­nal Balochi dresses and turbans paraded through roads of the provincial capital.
",2020-03-03
"Minister slams  religio-political parties threatening Aurat March on March 8
","ISLAMABAD: Federal Minister for Human Rights Dr Shireen Mazari on Monday condemned those religio-political parties...
",2020-03-03
"IHC rejects pleas for PTI MNAs’ disqualification
","Petitions were without merit, declares Justice Farooq. 
",2020-03-04
"Jalila among recipients of Women of Courage award
","The US State Depart­ment’s spokesperson’s office identifies her as “the Iron Lady of Balochistan"".
",2020-03-04
"Fresh polls only solution to country’s problems: Abbasi
","Rules out possibility of national government and in-house change. 
",2020-03-04
"Facebook, Telenor launch programmes to train women in digital skills
","Facebook would train the women and girls through its programme called “#SheMeansBusiness”.
",2020-03-04
"Kashmir, Palestine issues top OIC agenda: Dobeay
","ISLAMABAD: Special envoy of Secretary General of the Organisation of Islamic Cooperation (OIC) on Kashmir Yousef M....
",2020-03-04
"Pilgrims stranded in Iran start returning to Pakistan
","Over 2,000 Pakistani pilgrims and businessmen returned to Pakistan through the Taftan border.
",2020-03-04
"Zehri acquitted in murder case
","KHUZDAR: Former Balochistan chief minister Nawab Sanaullah Zarakzai Zehri, his younger brother Nawabzada Mir...
",2020-03-04
"Balochistan CM visits road expansion projects
","QUETTA: Balochistan Chief Minister Jam Kamal Khan Alyani has said that the provincial government has allocated Rs20...
",2020-03-04
"Red Zone Files: Inside the PM’s inner circle
","PM Imran today finds himself situated in a peculiar cross-section of go­­v­­­ernance latitude and political longitude. 
",2020-03-05
"Decision to import 0.3m tonnes of wheat shelved
","Importers have not shown interest in placing orders in view of a low margin of profit. 
",2020-03-05
"PML-N asks PM Imran to apologise over ‘lies’ about Nawaz health
","Musaddiq says vessel responsible for supply of blood to Nawaz’s brain is blocked.
",2020-03-05
"Spirit of sacrifice, patriotism make any force formidable: Bajwa
","Turkey wins Pakistan Army Team Spirit contest.
",2020-03-05
"Justice Naqvi of LHC recommended to join SC bench
","JCP also recommends Justice Mohammad Qasim Khan as the next chief justice of LHC.
",2020-03-05
"Hurdles in way of combating locust plague
","Nearly half of all crops have been destroyed near Karachi 
",2020-03-05
"Another polio case reported in Balochistan's Nasirabad district
","Samples from the 7-year-old were collected on Feb 12.
",2020-03-05
"China to give 50 drones, pesticides to fight locusts
","First batch of drones due to arrive on Monday.
",2020-03-05
"Construction of new runway at Quetta airport begins
","Quetta airport handles half a million passengers annually with 38 flights every week, says minister for aviation.
",2020-03-05
"Rights activists vow to defend social media freedom
","Demand review of rules framed under the Prevention of Electronic Crime Act 2016.
",2020-03-05
"PPP criticises govt for ordering halt to cultural events in varsities
","“This is a very dangerous path that the federal government is treading upon,” says Rabbani.
",2020-03-05
"CPJ asks govt not to link ads to editorial stances
","KARACHI: The Committee to Protect Journalists (CPJ) has called upon Pakistani authorities to stop withholding...
",2020-03-06
"Highest male-female gap on cell-phone ownership registered in Pakistan: report
","According to the report, the gender gap over mobile internet usage in Pakistan is even higher.
",2020-03-06
"LHC verdict against Musharraf conviction challenged in SC
","PBC’s petition questions whether high court enjoys territorial jurisdiction to entertain ex-president’s plea.
",2020-03-06
"BHC suspends Rs5.3bn uplift programme
","QUETTA: The Balochistan High Court has suspended the provincial government’s notification about the Public ...
",2020-03-06
"Court complex inaugurated in Usta Mohammad
","DERA MURAD JAMALI: Chief Justice of the Balochistan High Court Justice Jamal Khan Mandokhel inaugurated the new ...
",2020-03-06
"Child emergency centre opened
","QUETTA: Balochistan Chief Minister Jam Kamal Khan has said that children are the nation’s future and their health...
",2020-03-06
"NAB files reference against food official
","QUETTA: The National Accountability Bureau, Balochistan, on Thursday filed a reference in the accountability court...
",2020-03-06
"NA panel assails railways ministry’s performance
","Railway officials asserts that final report of the Tezgam tragedy had been submitted to the committee last month.
",2020-03-06
"PM for ‘out-of-box’ solution to energy crisis
","PM presides over a meeting held to review measures being taken for improving the efficiency of state-owned institutions.
",2020-03-06
"China rejects Indian claim Karachi-bound ship has military supplies
","Indian authorities had detained Chinese merchant vessel MV Da Cui Yun in the first week of February at Deendayal port.
",2020-03-06
"Envoys to visit world capitals to highlight Kashmir issue: FM
","Hindutva poses the single gravest threat to peace
",2020-03-06
"Complainant turns out to be killer of sister
","KASUR: A murder case complainant turned out to be the killer of his sister who was seeking her share in inherited...
",2020-03-07
"Shandur, Khunjerab festivals delayed
","GILGIT: The Gilgit-Baltistan government on Friday decided to postpone Shandur and Khunjerab top festivals over...
",2020-03-07
"Heavy rain, snowfall lash parts of Balochistan
","Five persons were injured when a wall of a mud house collapsed in Qila Saifullah.  
",2020-03-07
"Afghan traveller with fever, flu shifted to PIMS from airport
","Patient not suffering from cough or complaining difficulties in breathing.   
",2020-03-07
"Balochistan assured of help in fight against coronavirus
","“The federal government has provided maximum possible assistance to the Balochistan govt,"" says interior minister.
",2020-03-07
"Sindh, Balochistan join hands to fight coronavirus
","“Pilgrims coming from Iran are being kept for 14 days at the Pakistan House at the Pak-Iran border.""
",2020-03-07
"Slight decrease in inflation recorded
","The weekly inflation, measured through the Sensitive Price Index, decreased by 1.16pc last week. 
",2020-03-07
"Sindh holds centre responsible for wheat crisis
","Sindh CM rejects the allegation that his government was responsible for wheat crisis.
",2020-03-07
"Govt to support Aurat March with strings attached
","As PPP comes out with all-out backing, PML-N asks organisers to take a culturally acceptable stance.
",2020-03-07
"Pemra asks TV channels not to air ‘indecent content’
","ISLAMABAD: The Pakistan Electronic Media Regulatory Authority (Pemra) issued an advice to all satellite TV channels...
",2020-03-07
"PM seeks proposals to resolve issues of film industry
","“Our foremost priority is to highlight Pakistanism, and protecting and promoting the culture and values of our society.”
",2020-03-07
"Plea seeking directive on complaint against PHC chief justice dismissed
","The PHC CJ was one of the judges who gave the verdict against Musharraf.
",2020-03-07
"Coronavirus patient in Karachi recovers
","KARACHI: A coronavirus patient, who had been under treatment at a city hospital for over a week, has fully recovered...
",2020-03-07
"PPP calls for dialogue with civility on women’s issues
","Senator Sherry Rehman says some people are wrongly interpreting a few slogans of women’s movement.
",2020-03-08
"FO rejects Indian allegation about autoclave seized on ship
","ISLAMABAD: Seizure of an autoclave, destined for Pakistan, by Indian authorities from a Chinese ship could be part ...
",2020-03-08
"Qalandars find their feet to sink struggling Gladiators
","LAHORE: Devastating bowling by leg-spinner Samit Patel who bagged four wickets for just five runs inspired Lahore...
",2020-03-08
"Foreign consortium shows interest in Balochistan: CM
","QUETTA: Chief Minister Jam Kamal Khan Alyani has said that Balochistan is the land of opportunities and it has great...
",2020-03-08
"Pak-Iran trade resumes after 13 days
","The border was closed on Feb 23 after Pakistan confirmed its first two cases of the coronavirus.
",2020-03-08
"Scholarships given to 150 students in Turbat
","GWADAR: The Univer­sity of Turbat on Saturday granted scholarship to more than 150 students under the Balochistan...
",2020-03-08
"CNG cylinder blast leaves four injured
","KHUZDAR: Four people suffered critical burn injuries in a CNG cylinder explosion in the industrial town of Hub on...
",2020-03-08
"Peace restored in Kohlu: Lt Gen Ashraf
","QUETTA: Commander Southern Command Lt Gen Wasim Ashraf has said that peace has now been fully restored in Kohlu...
",2020-03-08
"Pakistan among 20 states most affected by China slowdown due to coronavirus
","The biggest sufferer is the textile sector, which has lost $44 million.
",2020-03-09
"Imran to review KP govt’s performance today
","The prime minister will distribute Kafalat cards among deserving families at a ceremony.
",2020-03-09
"Effective steps afoot to empower women: Firdous
","“Why only March 8, as every day is women’s day and the day of their empowerment.”
",2020-03-09
"Official spends day with women pilgrims quarantined at border
","CHAGAI: While the International Women’s Day was celebrated in the country, like other parts of the world, on...
",2020-03-09
"Gas shortage brings untold misery to consumers
","Balochistan was actually the first province in the country where gas was first discovered.
",2020-03-09
"Rs12 billion scholarships to be awarded this year: minister
","“The budget of science and technology has been increased by 600 per cent,” says Fawad.
",2020-03-09
"COAS pays tribute to women
","ISLAMABAD: Chief of Army Staff Gen Qamar Javed Bajwa on Sunday paid tribute to women of the country for their ...
",2020-03-09
"Balochistan announces Holi holidays
","QUETTA: The government of Balochistan on Sunday notified March 9 and 10 as public holidays throughout the province ...
",2020-03-09
"NA speaker forms committee for Balochistan
","QUETTA: National Assembly Speaker Asad Qaiser has constituted a special committee to discuss issues being faced by...
",2020-03-09
"Pakistan 11th largest arms importer in the world: report
","China accounted for 73pc of the total arms imported by Pakistan in 2015-19.
",2020-03-10
"Forest systems critically threatened, says FAO
","ISLAMABAD: A review of Pakistan’s forestry sector reveals that almost all natural forest ecosystems in the country...
",2020-03-10
"Third Board of Investment chairman steps down
","Razak Dawood rejects reports Zubair Gilani left job over differences.  
",2020-03-10
"Wheat panel to recommend increase in price for Rabi crop
","Meeting informed that sufficient quantity of commodity is stocked in the country.
",2020-03-10
"Senate body approves increase in number of seats for Balochistan Assembly, NA
","ISLAMABAD: A Senate committee on Monday approved an increase in the number of seats for the Balochistan Assembly and...
",2020-03-10
"Three isolation wards set up in Gwadar
","GWADAR: The Balochistan health department has set up three isolation wards in state-run hospitals in Gwadar district...
",2020-03-10
"Firdous says no confrontation exists between men and women
","The government did not take sides over the Aurat March, PM’s special assistant tells NA body.
",2020-03-10
"NAB files reference in football stadium case
","QUETTA: The National Accountability Bureau, Balochistan, on Monday filed a case in an accountability court against...
",2020-03-10
"Two men injured in Qila Abdullah blast
","QUETTA: A tribal elder and another man were injured after a bomb planted on the roadside in the Gulistan area of ...
",2020-03-10
"Border with Afghanistan closed
","""The border with Afghanistan will remain closed till next Monday,"" says Commandant of Frontier Corps in Chaman.
",2020-03-10
"Pilgrims returning from Iran demand end to quarantine
","Hundreds of pilgrims participated in the rally by chanting slogans against the local administration. 
",2020-03-10
"Martyred army officer laid to rest in Gilgit
","GILGIT: The martyred Army Colonel Mujeebur Rehman was laid to rest with full military honour in his native Bunji...
",2020-03-11
"Three killed in attack
","GWADAR: Three people were killed and a woman was injured in an attack on a house in Gowargo area of Panjgur on...
",2020-03-11
"Hindus across Balochistan celebrate Holi
","QUETTA: Hindus across Balochistan celebrated their religious festival Holi with full religious fervour and ...
",2020-03-11
"Future lies in export-led growth strategy: PM’s aide
","Dawood says Pakistan’s economy faces a lot of challenges in terms of fiscal and current account deficits.
",2020-03-11
"SHC directs PID chief to appear in person over Dawn petition on 24th
","The petition says that the federal government has suddenly stopped placing advertisements in Dawn.
",2020-03-11
"Coronavirus forces US defence chief to postpone visit to Pakistan, India
","“Out of an abundance of caution, the Secretary of Defence has decided to postpone his travel,” says Pentagon. 
",2020-03-11
"JPMC employees urge CJP to get ruling implemented
","The SC had ordered the federal govt to take control of JPMC in 2019.
",2020-03-11
"Aurat March organisers demand judicial probe into Islamabad stone pelting incident
","""How were right-wing parties allowed to stockpile stones, chilli powder to use for attacks."" 
",2020-03-11
"BHC orders govt to put dams on Ecnec agenda
","Court expresses satisfaction over progress made by the federal government regarding water projects in Balochistan.
",2020-03-11
"PIACL board gets new chairman
","Aslam Khan had been appointed as the chairman of the PIACL board with effect from March 9.
",2020-03-11
"Red zone files: Virus and govt inertia
","In the times of coronavirus, why is the government looking relaxed?
",2020-03-12
"IHC confirms Sharjeel’s bail in Roshan project case
","Court wonders why NAB was interested in detaining Memon despite the fact that he had been behind bars for about 2 years.
",2020-03-12
"Govt to reduce interest rate soon, says PM
","Criticises horizontal development of cities
",2020-03-12
"ECP urged to stop Qureshi from interfering in by-poll
","PPP Central Election Cell Taj Haider has asked the ECP to act against Qureshi under the law.
",2020-03-12
"Two more polio cases detected
","The current years tally has risen to 27.
",2020-03-12
"Pakistan strives to raise electric vehicles’ use to fight climate change
","Government eyes one-third of vehicles plying on electrical energy by 2030.
",2020-03-12
"President’s office told to provide data about employees, vacancies
","ISLAMABAD: After hea­ring a case regarding violation of the Right of Access to Information Act 2017, the Pakistan...
",2020-03-12
"Mandviwalla calls for efforts to beat coronavirus
","Says coronavirus has now become a global challenge.
",2020-03-12
"Senate body to watch Zindagi Tamasha before release
","ISLAMABAD: A parliamentary body will watch the film Zindagi Tamasha, directed by Sarmad Khoosat, before it is ...
",2020-03-12
"Govt asked to declare GB people ‘constitutional citizens’
","GILGIT: The Gilgit-Baltistan Assembly on Thursday demanded of the federal government through a unanimous resolution...
",2020-03-13
"SC to hear petition of mentally unstable prisoners on 30th
","Justice Manzoor says state has to ensure no death-row convict should suffer from any physical or mental health issue.
",2020-03-13
"Steps to check price hike will bear fruit soon: PM Imran
","Sindh Gover­nor Imran Ismail calls on the prime minister to discuss development projects in the province.
",2020-03-13
"PPP wants govt to declare health emergency over coronavirus
","Rehman Malik urges the government to act before it is too late.
",2020-03-13
"Army deployed at Taftan to screen pilgrims returning from Iran
","PDMA establishes tent village comprising 2,500 tents in Taftan.
",2020-03-13
"Parliamentary panel okays Justice Naqvi’s elevation to SC
","Representation of judges in SC stands at seven from Punjab, five from Sindh, two from KP and one from Balochistan.
",2020-03-13
"Oil firms want price adjustment on weekly or fortnightly basis
","Say declining petroleum prices causing inventory losses.
",2020-03-13
"Shahbaz must return to boost his political future: Rashid
","“The politics of PML-N will come to an end if Shahbaz Sharif fails to come back.”
",2020-03-13
"Staffer at Pakistan High Commission in UK advised self-quarantine
","NHS advises people with flu-like symptoms against visiting hospitals, asks them to take online survey.
",2020-03-13
"Dependents of Indian firing victims to get allowance
","MUZAFFARABAD: The Azad Jammu and Kashmir (AJK) government will provide monthly “subsistence allowance” to the...
",2020-03-13
"Balochistan's water commission submits report to govt
","Recommendations for early completion of water supply schemes in Lasbela, Kachhi, Qila Abdullah and Subhatpur districts.
",2020-03-13
"Russian hunts Astore markhor in GB
","GILGIT: Russian citizen Shirokov Evgeny hunted Astore Markhor in Sikandarabad valley of Nagar on Thursday, making it...
",2020-03-14
"FIA to launch probe into export of face masks
","Export was allowed on request of Chinese embassy, say officials.
",2020-03-14
"PM Imran reiterates resolve to uplift Karachi infrastructure
","“The country’s development is linked with that of Karachi.”
",2020-03-14
"PML-N wants joint session of parliament for virus briefing
","The demand was made at a parliamentary party meeting of the PML-N.
",2020-03-14
"PM’s aide calls for avoiding media debate on Jang group owner’s arrest
","Says govt had nothing to do with the detention
",2020-03-14
"SC allows paan masala producers to contest SHC decision
","The petitioners pleaded before SC that the products manufactured and marketed by them cannot be equated with Gutka.
",2020-03-14
"Over 1,800 leave Taftan after 14-day quarantine
","Pilgrims and traders had travelled to Iran and had been quarantined upon return. 
",2020-03-14
"Business leaders demand trade resumption with Afghanistan, Iran
","Pakistan closed the Taftan border with Iran on Feb 22 following the outbreak of coronavirus in Iran.
",2020-03-14
"Pakistan has a ‘very important’ role in implementing Doha accord: US general
","Gen Kenneth McKenzie hopes Taliban will fulfil commitments.
",2020-03-14
"36 brigadiers promoted to major general
","Around 25 brigadiers promoted to higher rank belonged to various corps whereas 11 brigadiers were from medical corps. 
",2020-03-14
"Campus management system inaugurated
","QUETTA: Balochistan Governor Amanullah Khan Yasinzai has said that in this era of information technology and...
",2020-03-14
"OBITUARY: The man who dreamed of people’s power
","On Saturday, death finally silenced senior politician Dr Mubashir Hasan.
",2020-03-15
"IHC approached to seek disqualification of MNA Wazir
","The petitioner sought a declaration that the Pashtun Tahafuz Movement (PTM) is involved in anti-national activities.
",2020-03-15
"Virus-induced restriction on international flights takes effect
","Domestic flights operation to continue at all airports.
",2020-03-15
"Four-year-old baby from Sindh new victim of polio
","The total nationwide tally for the current year rises to 30, which is around four times as much for the year 2017.
",2020-03-15
"Speaker cancels meetings of NA committees
","The Senate chairman had also cancelled the meetings of all the standing and functional committee on Friday.
",2020-03-15
"Pilgrims in quarantine near Quetta protest restrictions
","They were demanding that they should be allowed to go home.
",2020-03-15
"Balloting for DHA Quetta held
","QUETTA: Balochistan Governor retired Justice Amanullah Khan Yasinzai on Saturday performed the balloting of plots in...
",2020-03-15
"NAB told to decide plea of Mir Shakil’s family for daily visits
","Demonstrations held in Mingora, Swabi against the media mogul’s arrest
",2020-03-15
"Taftan quarantine disinfected
","CHAGAI: The local administration has set on fire beds and other stuff at a quarantine centre after more than 1,800...
",2020-03-15
"Kings reach semis as Gladiators bow out with consolation win
","KARACHI: Although Quetta Gladiators stood dethroned as the HBL Pakistan Super League champions before they took the...
",2020-03-16
"Nawaz barred FO from speaking against India, says diplomat
","Former FO spokesperson Tasneem Aslam says the policy did not benefit the country.
",2020-03-16
"13 doctors who bunked off quarantine duty in Balochistan face disciplinary action
","According to the health secretary, doctors were assigned duty at the quarantine centre in Mastung on March 8.
",2020-03-16
"No coronavirus case reported in AJK
","AJK PM directs authorities concerned to monitor those visiting AJK from Europe and other countries.
",2020-03-16
"All resources being utilised to defeat coronavirus, says Balochistan CM Alyani
","The chief minister inspected the isolation ward, ICU and public health laboratory at the Fatimah Jinnah Hospital.
",2020-03-16
"Five-day polio vaccination drive begins in Balochistan today
","Over 4,500 teams will take part in campaign spanning over 20 districts.
",2020-03-16
"President Arif Alvi calls for virus awareness via ‘social media weapons’
","“It is not a political issue but a national one.""
",2020-03-16
"Five pilgrims killed as bus overturns
","The seriously injured people were taken to Karachi for treatment.
",2020-03-16
"Tehran urged to suspend pilgrims’ return for some time
","A meeting of Pakistani Levies forces and their Iranian counterparts discussed the proposition.
",2020-03-16
"Govt must seek China’s advice to fight threat: Shahbaz
","Calls for diverting lawmakers’ funds to tackle COVID-19.
",2020-03-16
"Special economic zones to increase exports to $1.5bn
","“Investors from China, Turkey, Korea and Britain have pumped $1.10 billion into SEZs; bringing in more investors.”
",2020-03-16
"GB courts closed till April 5
","GILGIT: All courts in Gilgit-Baltistan will remain closed till April 5 in the wake of coronavirus threat, according...
",2020-03-17
"President Alvi arrives in China to explore avenues for collaboration
","President Alvi will hold separate meetings with President Xi Jinping, Premier Li Keqiang and other Chinese leaders. 
",2020-03-17
"PPP leader wants army medical corps to take charge of hospitals
","Senator Rehman Malik tags PM Imran in series of tweets calling for better treatment of coronavirus patients.
",2020-03-17
"CJP calls NJPMC meeting to deliberate on anti-virus steps in courts
","The NJPMC meeting will be held at the Supreme Court building at 4pm on Thursday.
",2020-03-17
"Justice Naqvi takes oath as SC judge
","Justice Naqvi’s appointment will fill the position of SC judge that fell vacant after the retirement of former CJ Khosa.
",2020-03-17
"Three opposition parties file petition against arrest of Jang group owner
","Separately, Mir Shakil’s wife challenges his detention, physical remand.
",2020-03-17
"Balochistan announces ‘strict’ measures amid virus fears
","Checkpoints to be set up to monitor illegal movement.
",2020-03-17
"Former FO spokesperson's remarks against Nawaz rejected
","Marriyum Aurangzeb says Nawaz has always worked for interests of Pakistan, raised his voice for the people of Kashmir.
",2020-03-17
"Nation urged to seek Allah’s help in fight against coronavirus
","Sadiq Sanjhrani, Asad Qaiser send out video messages urging nation to take precautions against the virus.
",2020-03-17
"Health emergency declared in Balochistan
","Legal action to be taken against people sheltering illegal immigrants anywhere.
",2020-03-17
"Debrief session of Seaspark-2020 held
","KARACHI: Chief of the Naval Staff Admiral Zafar Mahmood Abbasi has asserted that Pakistan Navy was fully prepared to...
",2020-03-17
"671 returnees from Iran leave for Sindh in convoy of 18 buses
","Governments of Sindh, Khyber Pakhtunkhwa and Punjab are bracing to receive and quarantine pilgrims again.
",2020-03-18
"Army to help govt fight coronavirus, says ISPR
","""COAS has directed all commanders to take maximum necessary measures to assist civil administration,"" says ISPR.
",2020-03-18
"Court intervenes when govt projects fail legal test of transparency: SC
","Remarks made in KP govt's appeal against PHC judgement to get BRT investigated by FIA.
",2020-03-18
"Opposition seeks daily hearing of PTI foreign funding case
","CEC agrees to convene MPC on electoral reforms.
",2020-03-18
"China will always stand by Pakistan, says President Xi
","“We want to see a united and strong Pakistan with stability and prosperity.”
",2020-03-18
"Pakistani soldier martyred in firing from across LoC
","MUZAFFARABAD: A soldier of Pakistan Army embraced martyrdom in the Neelum Valley of Azad Jammu and Kashmir (AJK) in...
",2020-03-18
"Azad Kashmir PM announces virtual lockdown
","The superior and subordinate judiciary would remain shut during the period.
",2020-03-18
"Nadra announces measures amid virus crisis
","Applicants advised to use online service wherever possible. 
",2020-03-18
"IHC dismisses petition against Ali Wazir
","ISLAMABAD: The Islam­abad High Court (IHC) on Tuesday dismissed a petition seeking disqualification of the Pashtun...
",2020-03-18
"RED ZONE FILES: Who’s fighting the Corona war?
","The brief history of our COVID-19 failures is now part of recent folklore.
",2020-03-19
"PM orders bifurcation of Drug Regulatory Authority
","Directs authority to determine prices of medicines through a proper procedure.
",2020-03-19
"IHC issues notices to ministry, Pemra on petition over Geo’s cable placement
","The petitioner argued that the govt had arrested Mir Shakilur Rehman in an attempt to victimise the channel.
",2020-03-19
"Govt slammed for claiming virus brought under control at Taftan
","""We must seek the help of China and South Korea to battle the outbreak,"" says National Party's Mir Kabir Ahmed Shahi.
",2020-03-19
"Number of patients shifted to hospitals with fever rises to 45
","RAWALPINDI: The number of people with high fever shifted to hospitals from the Islamabad International Airport has...
",2020-03-19
"Married at 100: love in the time of COVID-19
","Centenarian Abbas marries celebrated writer and activist Noor Zaheer in Middlesex
",2020-03-19
"NAB moves Supreme Court against bail granted to Fawad Hassan Fawad
","Appeal alleges that the LHC had erred by accepting the accused's bail plea by misreading the controversies.
",2020-03-19
"1,652 returning from Iran sent to home provinces
","More than 2,000 Pakistanis are still stranded in Iran and waiting for permission to cross into Iran.
",2020-03-19
"LHC hears plea questioning govt inefficiency today
","LAHORE: A Lahore High Court full bench on Friday (today) will hear a petition questioning the federal and provincial...
",2020-03-20
"NAB chairman briefed on Mir Shakil case
","LAHORE: National Accountability Bureau chairman retired Justice Javed Iqbal was briefed on Jang group ...
",2020-03-20
"Covid-19 certificate condition irks UK students
","CAA says authorities had to make a ‘difficult’ decision.
",2020-03-20
"JIT probing Khursheed’s assets suspended
","Senator Raza Rabbani, the counsel for Shah, challenged the notification regarding constitution of the JIT.
",2020-03-20
"Govt to suspend 12 train services from Sunday: Rashid
","“Passengers with seat reservations in these trains will be returned the fare without any deduction.""
",2020-03-20
"PML-N seeks NA session over coronavirus
","PPP opposes move, calls it unwise.
",2020-03-20
"Balochistan to get 900 containers for quarantine
","Chief Secretary retired Capt Fazeel Asghar says the containers would reach Balochistan in a couple of days.
",2020-03-20
"Japan to provide Rs700m aid to Faisalabad textile university
","ISLAMABAD: Japan has agreed to provide a grant assistance of Rs700 million to Pakistan for procurement of...
",2020-03-20
"Courts to remain open, but judicial workload will be reduced
","ISLAMABAD: The National Judicial (Policy Making) Committee (NJPMC) on Thursday decided not to close courts rather to...
",2020-03-20
"Two passenger planes escape mid-air disaster
","RAWALPINDI: A mid-air disaster was averted on Thursday when two passenger aircraft came into unplanned contact ...
",2020-03-20
"142 Pakistanis arrive in Taftan from Iran
","CHAGAI: As many as 142 Pakistani citizens, including 136 pilgrims, arrived in the country from Iran while 31 Iranian...
",2020-03-20
"NA speaker contacts opposition leaders to form panel on coronavirus issue
","Seeks to form parliamentary committee to oversee govt's efforts to deal with corona pandemic.
",2020-03-21
"Inter-provincial transport suspended by AJK for three days
","Violators would be punished under Epidemic Diseases Act, 1958, it warned. 
",2020-03-21
"EhtiyatCorona: Pakistan’s digital influencers fight virus misinformation
","Amid viral falsehoods, some 200 influencers working to keep the public well-informed.
",2020-03-21
"Quarantine centre set up at Afghan border in Chagai
","CHAGAI: A quarantine centre has been set up in Bahramchah in Chagai district near the border with Afghanistan....
",2020-03-21
"Balochistan govt blamed for virus spread
","Opposition lawmakers demand audit of PDMA
",2020-03-21
"Pakistani doctor arrested in US on terrorism charge
","MINNEAPOLIS: A Pakistani doctor and former Mayo Clinic research coordinator was arrested on Thursday in Minnesota on...
",2020-03-21
"Precautionary measures for federal govt employees announced
","ISLAMABAD: In the wake of coronavirus outbreak, the federal government on Friday issued significant instructions for...
",2020-03-21
"Balochistan CM says steps taken to prevent spread of coronavirus
","QUETTA: Balochistan Chief Minister Jam Kamal Khan Alyani has said that the provincial government is taking all...
",2020-03-21
"Baltistan varsity develops hand sanitiser
","The varsity is massproducing alchohol-based sanitiser for distribution among health workers.
",2020-03-21
