Summary,Time,label
"RAWALPINDI, Jan 3: The Federal Investigation Agency requested the anti-terrorism court of Rawalpindi on Tuesday to transfer its record of the Mumbai attack case to magistrate S.S. Shinde who has been nominated 
    ",03/01/2012,other
"GUJRAT, Jan 3: A would-be suicide bomber and another terrorist were killed on Tuesday when explosives in the jacket of the bomber exploded near Gorali village, some four kilometres from Gujrat city 
    ",03/01/2012,crime
"QUETTA, Jan 3: Police on Tuesday charged three Iranian border guards with the murder of a Pakistani man shot dead on Sunday in a cross-border attack in the country`s southwest 
    ",03/01/2012,crime
"ISLAMABAD, Jan 3: After sticking to its stand for three days, the petroleum ministry finally yielded to the demands of the CNG sector and the transporters who had besieged various points in different cities including Islamabad since the new year began 
    ",03/01/2012,other
"ISLAMABAD, Jan 3: The capital city witnessed another day of protests and skirmishes between police and angry mobs as CNG station owners and transporters continued their strike against increase in prices for the second 
    ",03/01/2012,crime
"ISLAMABAD, Jan 3: The city managers on Tuesday claimed that they would produce their own electricity to overcome power shortage and save over Rs1 billion every year 
    ",03/01/2012,other
"ISLAMABAD, Jan 3: The education wing of the Capital Administration and Development Division (CADD) ignored a Supreme Court order when it recommended 51 government school teachers to Establishment Division 
    ",03/01/2012,other
"ISLAMABAD, Jan 3: Unemployment, poverty and inequality have been the main reasons of social evils necessitating development of skilled manpower to overcome these problems 
    ",03/01/2012,other
"MUZAFFARABAD, Jan 3: The AJK government has finalised arrangements to observe ‘Right to Self-Determination Day’ on Thursday to remind the international community about decades-old unfulfilled commitment to the Kashmiris 
    ",03/01/2012,other
"PESHAWAR, Jan 3: The Khyber Pakhtunkhwa government has begun work on a study to know the factors blocking dispensation of justice to the people of Malakand division before addressing them, Dawn learnt on Tuesday 
    ",03/01/2012,other
"PESHAWAR, Jan 3: Taking advantage of closure of CNG stations, the public transport operators in provincial metropolis unilaterally increased fares from 20 to 30 per cent on different routes on Tuesday 
    ",03/01/2012,other
"LANDI KOTAL, Jan 3: The tribal elders of Khyber Agency have reacted sharply to the Awami National Party`s demand about merger of Federally Administered Tribal Areas with Khyber Pakhtunkhwa province 
    ",03/01/2012,other
"LANDI KOTAL, Jan 3: Three persons including two Levies personnel were killed and eight civilians were injured when a powerful car bomb exploded in Landi Kotal Bazaar of Khyber Agency on Tuesday 
    ",03/01/2012,other
"PESHAWAR, Jan 3: Rickshaw drivers continued with wheel-jam strike in the provincial capital against the new traffic plan for the second consecutive day on Tuesday and staged a sit-in on the main road near Faqirabad bridge 
    ",03/01/2012,other
"PESHAWAR, Jan 3: Khyber Pakhtunkhwa is unlikely to achieve the millennium development goals (MDGs) by the 2015 deadline in light of the current socioeconomic conditions and natural and manmade disasters 
    ",03/01/2012,other
"KARAK, Jan 3: Karak Qaumi Tehrik staged a hunger strike here on Tuesday against the increasing ratio of accidents on Indus Highway due to bad shape of the road and demanded that the road be redesigned 
    ",03/01/2012,other
"ISLAMABAD, Jan 2: A strike by CNG station owners ignited violent protests by stranded commuters and paralysed life in and around Islamabad on Monday, the first working day of the new year. 
    ",03/01/2012,other
"ISLAMABAD, Jan 2: The Muttahida Qaumi Movement submitted on Monday to the National Assembly secretariat a constitution amendment bill seeking creation of new provinces in Punjab and Khyber Pakhtunkhwa 
    ",03/01/2012,other
"KARACHI, Jan 2: President Asif Ali Zardari has called for a comprehensive 20-year master plan aimed at restoring, remodeling and enhancing the capacity of the drainage system for coping with floods and 
    ",03/01/2012,other
"RAWALPINDI, Jan 2: Rawalpindi Cantonment Board (RCB) has sought an additional Rs200 million from federal government to complete Khanpur Dam Water Supply Project (KDWSP) by end of June 2012, fearing 
    ",03/01/2012,other
"ISLAMABAD, Jan 2: The strike by public transporters and CNG station owners on Monday left thousands of people in the twin cities stranded, necessitating the launch of the much-needed bus service in the capital 
    ",03/01/2012,other
"MUZAFFARABAD, Jan 2: Intra-Kashmir traders staged a rally amid their token hunger strike which entered third consecutive day here on Monday against the alleged bullying and intimidation by Pakistan Customs. 
    ",03/01/2012,other
"ISLAMABAD, Jan 2: Communication Minister Dr Arbab Alamgir Khan on Monday pledged to fill in 1,053 posts lying vacant in the National Highways and Motorway Police (NHMP). 
    ",03/01/2012,other
"ATTOCK, Jan 2: Nomination papers of Pakistan Peoples Party (PPP) candidate Malik Mohammad Sameen Khan were rejected by the Returning Officer (RO) during scrutiny, it has been learnt 
    ",03/01/2012,other
"ISLAMABAD, Jan 2: Talks between the Secretary petroleum, and the CNG Association on Monday failed to bring the strike by the dealers and the transporters to an end 
    ",03/01/2012,other
"ISLAMABAD: Police constable, Fasihullah, who was driving the van, which hit and injured Shahzad Town SHO, was taken into custody, police said 
    ",03/01/2012,crime
"LAKKI MARWAT, Jan 2: A local JUI-F leader and former nazim Haji Mohammad Azeem Khan was killed and his driver was seriously wounded when unidentified gunmen attacked his pickup near Naverkhel on Begukhel 
    ",03/01/2012,crime
"PESHAWAR, Jan 2: The Jamaat-i-Islami (JI) has decided to move Peshawar High Court against hike in price of natural gas 
    ",03/01/2012,other
"PESHAWAR, Jan 2: Hundreds of thousands of people across Khyber Pakhtunkhwa suffered physically and financially as closure of compressed natural gas (CNG) stations led to shortage of public transport vehicles 
    ",03/01/2012,other
"PESHAWAR, Jan 2: The Khyber Pakhtunkhwa Assemb-ly on Monday passed a bill to set up an authority to promote the province`s regional languages 
    ",03/01/2012,other
"MINGORA, Jan 2: Two labourers were killed as an under-construction building collapsed here on Monday 
    ",03/01/2012,other
"BATKHELA, Jan 2: A jirga of Uthmankhel on Monday demanded of the government to set up a separate agency or division for it where more than one million members of the tribe could live jointly 
    ",03/01/2012,other
"PESHAWAR, Jan 2: The provincial health department has contacted the chief secretary for consent to free treatment of chronic myeloid leukemia sufferers from Afghanistan at the oncology ward of Peshawar`s 
    ",03/01/2012,other
"ISLAMABAD, Jan 4: Nearly 4,000 unsuspecting patients at the Pakistan Institute of Medical Sciences (Pims) suffered as the nursing, paramedical and non-medical staff observed a complete strike 
    ",04/01/2012,other
"TAXILA, Jan 4: A motorcyclist was killed and two others injured in two road incidents in the limits of Hassanabdal and Taxila police stations on Wednesday 
    ",04/01/2012,other
"RAWALPINDI, Jan 4: A three-year-old girl drowned in a nullah while playing with her friends outside her house in Gulshan colony Tehli Moori here on Wednesday, the girl`s parents said 
    ",04/01/2012,other
"RAWALPINDI, Jan 4: An anti-terrorism court here on Wednesday allowed transfer of record and court documents related to Mumbai attack case to the presiding officer of the judicial commission in Mumbai 
    ",04/01/2012,other
"ISLAMABAD, Jan 4: The Asian Development Bank (ADB) said the Rawalpindi Environment Improvement Project (REIP) failed to achieve sustainable reduction in environmental degradation and operation of basic 
    ",04/01/2012,other
"ISLAMABAD, Jan 4: Capital city saw four terrorist attacks in 2011 in which four persons were killed, including two high profile, and the same number of people injured, according to Security Report 2011 of 
    ",04/01/2012,crime
"KARACHI, Jan 3: Due to security concerns, the Sindh government banned on Tuesday rallies and all political activities in the `red zone` of Karachi 
    ",04/01/2012,other
"ISLAMABAD, Jan 3: With sugar mills reducing their bid price by about Rs17 per kg, the Economic Coordination Committee of the cabinet on Tuesday decided to purchase 378,000 tons of sugar for strategic reserves, but a dispute between Punjab 
    ",04/01/2012,other
"Hectic efforts are going on to resolve differences between Hakimullah Mehsud and Wali-ur-Rehman, said sources. 
    ",04/01/2012,other
"ISLAMABAD, Jan 3: Pakistan Tehrik-i-Insaf chairman Imran Khan said on Tuesday his party would decide whether to go for a civil disobedience campaign or use other means to oust the government during its Central Executive Committee meeting 
    ",04/01/2012,other
"There will be no harm if politicians agreed to the schedule of early general elections following the Constitution, said the JUI-F chief. 
    ",04/01/2012,other
"QUETTA, Jan 5: A police officer was shot dead while a man was killed and two others were injured in a landmine blast in two separate incidents in Balochistan on Thursday 
    ",05/01/2012,crime
"ISLAMABAD, Jan 5: The Benazir Income Support Programme (BISP) is seeking about $150 million from the World Bank to set up an effective national safety net and foster human development of the poor in the 
    ",05/01/2012,other
"BEIJING, Jan 5: Chinese Prime Minister Wen Jiabao said on Thursday that being a true and steadfast friend, China would continue to support Pakistan`s efforts to safeguard its sovereignty, independence and 
    ",05/01/2012,other
"ISLAMABAD, Jan 5: After serving the Pakistan Air Force for over 36 years, the fleet of the two-seat fighter trainer aircraft, FT-5, stood retired on Thursday and replaced by advanced jet trainer K-8P 
    ",05/01/2012,other
"ISLAMABAD, Jan 5: Like several other public sector organisations, the Indus River System Authority (Irsa) which is responsible for distributing water among the provinces is also facing a severe financial 
    ",05/01/2012,other
"KARACHI, Jan 5: The National Database and Registration Authority (Nadra) has so far disbursed over Rs9 billion through 1,100,216 Pakistan Cards among rain-affected families in Sindh. This was stated by Chairman 
    ",05/01/2012,other
"ISLAMABAD, Jan 5: Prime Minister Yousuf Raza Gilani is continuing with his efforts to rally support of coalition partners for the beleaguered Pakistan People’s Party-led government which is facing a number of 
    ",05/01/2012,other
"ISLAMABAD, Jan 5: The strike of the medical and non-medical staff against new health pay scales initiated from Pakistan Institute of Medical Sciences (Pims) extended to other public hospitals of the federal capital on Thursday 
    ",05/01/2012,other
"ISLAMABAD, Jan 5: An eleven-year-old boy working as a domestic servant was found dead in the house of his employers under mysterious circumstances here on Thursday, police said 
    ",05/01/2012,crime
"RAWALPINDI, Jan 5: Three persons, including a father and his son, were shot dead in a family feud outside their home near Punjab House here on Thursday, police said 
    ",05/01/2012,crime
"ISLAMABAD, Jan 5: Indian Lok Sabha member Dr Shashi Tharoor had a hard time convincing an audience here on Thursday that “India is genuinely committed to peaceful relations with Pakistan” 
    ",05/01/2012,other
"ISLAMABAD, Jan 5: The Supreme Court on Thursday asked the authorities concerned to provide record of issuance of computerised national identity cards to eunuchs and their enrolment in the voters list 
    ",05/01/2012,other
"RAWALPINDI, Jan 5: The family of three-year-old girl suspected to be drowned in nullah had lost hopes of finding her alive as the search operation was suspended on Thursday 
    ",05/01/2012,other
"ISLAMABAD, Jan 5: Bank of Punjab (BoP) will soon auction confiscated property worth millions of rupees including jewellery and diamond watches of Shaikh Afzal, the main character in Rs8.4 billion scam 
    ",05/01/2012,other
"PESHAWAR, Jan 5: The lawmakers from both treasury and opposition benches in Khyber Pakhtunkhwa Assembly here on Thursday showed sagacity over the politically divisive issue of Hazara province 
    ",05/01/2012,other
"MANSEHRA, Jan 5: The upper parts of Hazara are in the grip of severe cold due to continuous rain and snowfall in the division 
    ",05/01/2012,other
"PESHAWAR, Jan 5: Khyber Pakhtunkhwa Governor Barrister Masood Kausar has directed political agents of all tribal agencies to effectively control kidnapping incidents to improve investment environment in Federally Administered Tribal Areas 
    ",05/01/2012,other
"KOHAT, Jan 5: Scores of people ended blockade of Shakardarra oil fields here on Thursday after Sui Northern Gas Pipelines Limited (SNGPL) began work on the pipeline for gas supply to the areas within five-kilometre radius of the town 
    ",05/01/2012,other
"GILGIT, Jan 5: The Gilgit-Baltistan government on Thursday reshuffled top officials of the administration and police departments to bring improvement in governance 
    ",05/01/2012,other
"TANK, Jan 5: The former commander of a local peace committee was killed allegedly by Taliban militants on late Wednesday night, police said 
    ",05/01/2012,crime
"The machine works on the principle of resonance and it can preempt movement of an avalanche within a radius of one kilometre: inventor 
    ",05/01/2012,other
"ISLAMABAD, Jan 4: After the agreement between CNG association and the government, the Oil and Gas Regulatory Authority (Ogra) issued new rates for compressed natural gas, showing less than a rupee per kg 
    ",05/01/2012,other
"ISLAMABAD, Jan 4: Before leaving for an official visit to the Caribbean on Wednesday, National Assembly Speaker Dr Fehmida Mirza accepted the resignations of six MNAs who have joined the Pakistan Tehrik 
    ",05/01/2012,other
"ISLAMABAD, Jan 4: Foreign Minister Hina Rabbani Khar has said that recommendations of the Parliamentary Committee on National Security (PCNS), currently reviewing the Pakistan-US relationship, 
    ",05/01/2012,other
"PESHAWAR, Jan 4: The provincial health department will tomorrow (Friday) apprise the government and international donors of the challenges facing immunisation programme in the province, especially 
    ",05/01/2012,other
"PESHAWAR, Jan 4: The Sarhad Chamber of Commerce and Industry has demanded that distribution of gas to Khyber Pakhtunkhwa`s consumers should be made in line with a Peshawar High Court decision. 
    ",05/01/2012,other
"PESHAWAR, Jan 4: Auto-rickshaw drivers of the provincial capital on Wednesday ended their strike against the new traffic plan and said they would follow the law to help organise vehicular traffic 
    ",05/01/2012,other
"GILGIT, Jan 4: Unknown attackers gunned down deputy superintendent of police (investigation) Mohammad Ibrahim here on Wednesday. “DSP Mohammad Ibrahim, who was brought here with bullet 
    ",05/01/2012,crime
"LANDI KOTAL, Jan 4: Renewed clashes between a banned militant organisation and a tribal lashkar left seven persons dead and one injured in Bazaar-Zakhakhel area of Khyber Agency on Wednesday 
    ",05/01/2012,crime
"PESHAWAR, Jan 4: President Awami National Party (ANP) Khyber Pakhtunkhwa Senator Afrasayab Khan Khattak on Wednesday declared the demand of Muttahida Qaumi Movement (MQM) for creation of new 
    ",05/01/2012,other
"PESHAWAR, Jan 4: The federal government is spending Rs81 billion on the construction of 11 road projects in Khyber Pakhtunkhwa, said federal minister for communications Arbab Alamgir Khan during a meeting with 
    ",05/01/2012,other
"PESHAWAR, Jan 4: Work on setting up a solid waste recycling plant on the outskirts of provincial metropolis couldn`t be initiated after passing of one year owing to law and order situation, sourced said 
    ",05/01/2012,other
"QUETTA, Jan 4: Five suspected militants, three foreigners among them, were killed and two security personnel injured in an encounter in Murgha-Kibzai area of Zhob district along the Afghan border on Wednesday 
    ",05/01/2012,crime
"ISLAMABAD, Jan 4: The government has simplified the procedures in order to achieve the target of producing 1,500MW of electricity through wind power units by 2013, according to federal Minister for 
    ",05/01/2012,other
"QUETTA, Jan 4: Gas supply from Sui plant in Balochistan to parts of Sindh was disrupted after the main pipeline near the Uch area of Dera Bugti district was blown up in the early hours of Wednesday. 
    ",05/01/2012,other
"KARACHI, Jan 6: The Election Commission of Pakistan hopes to update the rules governing election spending before the announcement of schedule for the next general election 
    ",06/01/2012,other
"ISLAMABAD, Jan 6: Chairman of the Parliamentary Committee on National Security Senator Raza Rabbani said on Friday that new provinces should be created on the basis of cultural, linguistic and historical 
    ",06/01/2012,other
"QUETTA, Jan 6: A man was killed and another man injured when a landmine exploded in Jani Bairi area of Dera Bugti district on Friday 
    ",06/01/2012,crime
"LAHORE, Jan 6: PPP leader Aitzaz Ahsan has said that he did not meet PML-N Senator Ishaq Dar to discuss Senate and National Assembly elections 
    ",06/01/2012,other
"ISLAMABAD, Jan 6: The first rain of the current winter season brings good news for wheat growers and the residents of northern parts of the country including the twin cities of Rawalpindi and Islamabad 
    ",06/01/2012,other
"RAWALPINDI, Jan 6: College teachers across the Punjab would resume their strike for acceptance of their demands from Monday after the provincial government went back on its words, the Punjab Lecturers and 
    ",06/01/2012,other
"RAWALPINDI, Jan 6: A tussle between Rawalpindi police and the Punjab prosecution department over provision of security to prosecutors of anti-terrorism courts has put the fate of high-profile terrorism cases 
    ",06/01/2012,other
"ISLAMABAD, Jan 6: Extra-constitutional steps may lead the country to bloodshed and violent revolution because the judiciary would never validate such move of any adventurer 
    ",06/01/2012,other
"ISLAMABAD, Jan 6: National Commission on the Status of Women (NCSW) has submitted to the Ministry of Human Rights four draft bills concerning women issues and personal laws of the minorities living in Pakistan 
    ",06/01/2012,other
"RAWALPINDI, Jan 6: Justice Saghir Ahmed Qadri of Lahore High Court`s Rawalpindi bench on Friday suspended the notification of Punjab government that bounded teachers to get approval from the district 
    ",06/01/2012,other
"ATTOCK, Jan 6: Five persons were killed and 12 others received serious injuries in a road accident here on GT road Friday evening 
    ",06/01/2012,crime
"PESHAWAR, Jan 6: The Khyber Pakhtunkhwa government`s repeated requests to the Water and Power Development Authority for speeding up construction of Gomal Zam dam project`s irrigation system have 
    ",06/01/2012,other
"RAWALPINDI, Jan 5: Rizwana Bibi, suffering from some minor infection in a remote village of Attock, is being treated by a senior physician sitting at Holy Family Hospital, over 100 km away in Rawalpindi 
    ",06/01/2012,other
"KHAR, Jan 5: Seventeen children have escaped from militants’ captivity in Kunar province of Afghanistan and reached their homes in Mamond tehsil of Bajaur tribal region on Thursday. 
    ",06/01/2012,other
"ISLAMABAD: Sitting in the media gallery of the National Assembly during its latest session, one wondered what the 342 elected representatives of the country are up to 
    ",06/01/2012,other
"ISLAMABAD, Jan 5: The government decided on Thursday to formulate mechanism and rules for safety of CNG-fitted public and private vehicles. 
    ",06/01/2012,other
"QUETTA, Jan 7: PML-N chief Nawaz Sharif has said that after coming to power his party will bring to justice the people responsible for the killing of Nawab Akbar Bugti. 
    ",07/01/2012,other
"The counsel of Ijaz said that the petition of the PPP activist is aimed at stopping his client from entering Pakistan. 
    ",07/01/2012,other
"The US State Department noted that “Amb Rehman does indeed come at an important time”. 
    ",07/01/2012,other
"ISLAMABAD, Jan 7: The Difaa-i-Pakistan Council, a conglomerate of about 40 religious and political groups, on Saturday said it opposed efforts to reopen the routes meant for supply of goods to the Nato forces 
    ",07/01/2012,other
"QUETTA, Jan 7: Differences have cropped up within the PML-N`s Balochistan chapter over the election of Sardar Sanaullah Zehri as its chief. 
    ",07/01/2012,other
"ISLAMABAD, Jan 7: The members of the National Assembly`s special all-party committee on law and order will visit Quetta on Tuesday (Jan 10) to receive a briefing from senior officials of the provincial 
    ",07/01/2012,other
"KARACHI, Jan 7: Two PIA air hostesses who had gone missing in Thailand for some time a few days ago have been suspended after they returned to the country 
    ",07/01/2012,other
"ISLAMABAD, Jan 7: In the rest of the country, when the Supreme Court orders the demolition of illegal structures, they are demolished but in Islamabad they are being regularised. 
    ",07/01/2012,other
"ISLAMABAD, Jan 7: The Press Council of Pakistan (PCP) will invite office-bearers of major press clubs and the representatives of other media organisations to initiate dialogue and discussion on safety, security, 
    ",07/01/2012,other
"RAWALPINDI, Jan 7: The Punjab government will provide a mobile wagon, capable of detecting explosives and defusing them, to Rawalpindi`s Civil Defence next month, a senior official told Dawn . 
    ",07/01/2012,other
"ISLAMABAD, Jan 7: Education in the government-run schools in the federal capital is suffering as teachers are reluctant to serve in the outlying areas, according to sources in the Federal Directorate of Education (FDE) 
    ",07/01/2012,other
"RAWALPINDI, Jan 7: A piece of land reserved for the dead on the outskirts of city may see the rise of a housing colony for the living — this time — as the place proves an eye candy for the Punjab government. 
    ",07/01/2012,other
"TAXILA, Jan 7: Five smugglers, including a woman, have been arrested and huge quantity of narcotics seized from them. 
    ",07/01/2012,crime
