Headlines,Summary,Time
Couple held on charge of killing servant,"ISLAMABAD, Jan 5: An eleven-year-old boy working as a domestic servant was found dead in the house of his employers under mysterious circumstances here on Thursday, police said 
    ",05/01/2012
Former peace body head killed in Tank,"TANK, Jan 5: The former commander of a local peace committee was killed allegedly by Taliban militants on late Wednesday night, police said 
    ",05/01/2012
DSP gunned down in Gilgit,"GILGIT, Jan 4: Unknown attackers gunned down deputy superintendent of police (investigation) Mohammad Ibrahim here on Wednesday. “DSP Mohammad Ibrahim, who was brought here with bullet 
    ",05/01/2012
Bara clash leaves seven dead,"LANDI KOTAL, Jan 4: Renewed clashes between a banned militant organisation and a tribal lashkar left seven persons dead and one injured in Bazaar-Zakhakhel area of Khyber Agency on Wednesday 
    ",05/01/2012
"Five militants killed in clash, claims FC","QUETTA, Jan 4: Five suspected militants, three foreigners among them, were killed and two security personnel injured in an encounter in Murgha-Kibzai area of Zhob district along the Afghan border on Wednesday 
    ",05/01/2012
Man dies in blast,"QUETTA, Jan 6: A man was killed and another man injured when a landmine exploded in Jani Bairi area of Dera Bugti district on Friday 
    ",06/01/2012
"Five killed, 12 injured on road","ATTOCK, Jan 6: Five persons were killed and 12 others received serious injuries in a road accident here on GT road Friday evening 
    ",06/01/2012
Five drug smugglers held,"TAXILA, Jan 7: Five smugglers, including a woman, have been arrested and huge quantity of narcotics seized from them. 
    ",07/01/2012
Passenger van ambushed in GB,"GILGIT, Jan 7: Unknown attackers opened fire on a passenger van at Nagaral on Saturday, killing one person. The victim was identified as Abdul Wakil, resident of Chilas. 
    ",07/01/2012
School blown up in Waziristan,"MIRAMSHAH, Jan 7: Militants bombed a school on Friday night and fired rockets at the base of paramilitary forces in North Waziristan Agency, official sources said 
    ",07/01/2012
Murder of rape victim`s brother 15 co-accused held in Karak operation,"KARAK, Jan 7: Police on Saturday arrested 15 co-accused of Ibrahim Shah, the main accused in the murder case of Alam Zeb, and demolished their hideouts during a search operation in Shnawa Guddikhel area of 
    ",07/01/2012
Six militants killed in Landi Kotal clash,"LANDI KOTAL, Jan 6: At least six militants were killed and 12 injured on Friday after Lashkar-i-Islam and its rival Zakhakhel tribal force exchanged gunfire to gain control of a key base in Bazaar Zakhakhel area of 
    ",07/01/2012
Police accountability needed to end bank robberies,"ISLAMABAD, Jan 8: On January 6, an armed man looted Rs600,000 from Habib Bank’s Uthal Chowk branch in the jurisdiction of Bhara Kahu police and escaped after shooting the security guard Pervez in the leg. On the complaint of the bank manger, Mr Tahir, the 
    ",08/01/2012
Protesters block KKH to condemn killing,"GILGIT, Jan 8: A large number of people took to streets in Chilas, headquarters of Diamer district, and chanted slogans against the government for failing to arrest killers of Abdul Wakil, who was killed when unidentified men ambushed a passenger van in G 
    ",08/01/2012
Court dismisses plea to compound eight murders,"GUJRANWALA, Jan 7: A sessions court on Saturday dismissed an application filed by the heirs of eight murder victims who wanted compounding the offence of the prime suspect. 
    ",08/01/2012
Three of a family perish on road,"KASUR, Jan 7: Three members of a family were killed when a truck sent their two-wheeler hurtling down an overhead bridge at Pattoki on Saturday. 
    ",08/01/2012
Newborn girl kidnapped,"GUJRAT, Jan 7: A newborn girl was kidnapped from gynae ward of Aziz Bhatti Shaheed (ABS) Hospital here on Saturday while the hospital administration says security of newborns is not responsibility of the 
    ",08/01/2012
Two hurt in Jamrud clash; container blown up,"LANDI KOTAL, Jan 9: Two persons were injured when rival groups exchanged fire after a protest demonstration against power loadshedding in Malagori area of Jamrud on Monday. 
    ",09/01/2012
Saleem Shahzad murder report submitted to PM,"ISLAMABAD, Jan 10: After six months of deliberations, the commission investigating the murder of journalist Saleem Shahzad, has submitted its report to the prime minister through the information secretary. 
    ",10/01/2012
19 Pakistanis handed over by Afghanistan,"QUETTA, Jan 10: Nineteen Pakistanis arrested in Afghanistan for having entered the country without travel documents were handed over to authorities at the Chaman border on Tuesday. 
    ",10/01/2012
Best of both worlds lands cop in trouble,"ISLAMABAD, Jan 10: A police constable who was also an employee of Ministry of Religious Affairs at the same time was booked on the charges of cheating and causing huge loss to the national exchequer, police said on Tuesday. 
    ",10/01/2012
47pc women drug addicts educated,"ISLAMABAD, Jan 10: A survey by Ministry of Narcotics Control has revealed an alarming increase in use of drugs by women graduating from college and university. 
    ",10/01/2012
Retired army officer`s widow murdered,"RAWALPINDI, Jan 10: A widow of a retired major general was murdered here in her Harley Street house on Monday night, apparently over some property issue, police said. 
    ",10/01/2012
3 foreigners among four killed as US resumes drone strikes,"MIRAMSHAH, Jan 11: After a lull of about two months a CIA-operated drone carried out a missile attack in North Waziristan late on Tuesday night, killing four suspected militants. 
    ",11/01/2012
11 killed in Orakzai,"KALAYA, Jan 11: At least 11 militants were killed and six others injured when jet fighters pounded their hideouts in Upper Orakzai tribal region on Wednesday, officials said. 
    ",11/01/2012
Key Taliban commander killed in Tirah,"LANDI KOTAL, Jan 11: An important commander of Tehrik-i-Taliban Pakistan was shot dead by unidentified gunmen in Tirah valley of Khyber Agency on Wednesday, sources said. 
    ",11/01/2012
Militants target another school in Swabi,"SWABI/KOHAT, Jan 11: Unidentified militants blew up a primary school for girls in Razaar tehsil of Swabi district in the small hours of Wednesday. 
    ",11/01/2012
FC man injured in Tank attack,"DERA ISMAIL KHAN, Jan 13: A paramilitary soldier was wounded in exchange of fire with militants in Tank on Thursday night. 
    ",13/01/2012
Former Navy official dies of bullet wounds,"KARACHI, Jan 12: A former lieutenant commander of Pakistan Navy heading the security department of a private hospital who was shot and injured in the city`s Korangi area on Wednesday night died on Thursday. 
    ",13/01/2012
Mistaken target: Two women shot dead in Pims,"ISLAMABAD, Jan 14: Two women, including the mother of a joint secretary of the Cabinet Division, were killed during an attack on an under-trial prisoner at the VIP ward of Pakistan Institute of Medical Sciences (Pims) Saturday night. 
    ",14/01/2012
Militants involved in Peshawar police post attack arrested,"PESHAWAR, Jan 14: Four militants, involved in attack on Riaz Shaheed police post in Surband on Thursday night, were arrested during a search operation in the area, sources said. 
    ",14/01/2012
Security man injured in Landi Kotal blast,"LANDI KOTAI1CHARSADDA, Jan 14: A personnel of Khyber Rifles was injured when a food supply convoy was targeted with a roadside bomb in Landi Kotal tehsil of Khyber Agency on Saturday. 
    ",14/01/2012
Man shot dead by brother in Kohat,"KOHAT, Jan 14: A man shot dead his brother and injured a cousin over a property dispute in Muslimabad area on Saturday. 
    ",14/01/2012
"1.5kg gold, cash taken away from six shops","GUJRAT, Jan 14: Robbers took away gold ornaments, cash and other valuables worth Rs25 million by taking the security guard hostage and cutting locks of six shops in a plaza on GT Road in Sarai Alamgir city, some 50 kilometres from Gujrat, on Friday night  
    ",14/01/2012
Five killed on road,"GUJRANWALA, Jan 14: Five people were killed and as many others injured in a collision between a car and van on Wazirabad-Sialkot Road late on Friday night. 
    ",14/01/2012
Protest over lawlessness in Balochistan,"QUETTA, Jan 15: The Pakhtunkhwa Milli Awami Party (PkMAP) has said the government and police have failed to curb lawlessness in the provincial capital and on highways and that cases of robbery and 
    ",15/01/2012
Afghan girl arrested with bullets,"RAWALPINDI, Jan 15: A nine-year-old Afghan girl carrying 50 bullets and an Afghan man were arrested by security staff deployed at the main procession of Hazrat Imam Hussain’s (AS) Chehlum in Kashmiri Bazaar 
    ",15/01/2012
‘Killers entered Pims through boundary wall’,"ISLAMABAD, Jan 15: Even 24 hours after two women were shot dead and another was injured at the Pakistan Institute of Medical Sciences (Pims), police could not nominate the suspects and lodged an FIR (first 
    ",15/01/2012
Another bomb found in Khanpur,"RAHIM YAR KHAN, Jan 16: The death toll could have been significantly higher if another bomb planted on the route of the Chehlum procession in Khanpur had gone off, sources said. 
    ",16/01/2012
Six die as coach veers off road in Swat,"MINGORA, Jan 16: Six persons, including three children and a woman, were killed and 25 others received injuries when a passenger coach fell into a ravine in Kabal tehsil of Swat district on Monday. 
    ",16/01/2012
Volunteers kill three militants in Bara,"LANDI KOTAL, Jan 18: At least three militants were killed when they clashed with volunteers of a peace committee in Bara tehsil of Khyber Agency on Wednesday. 
    ",18/01/2012
Journalists protest murder of colleague,"CHARSADDA, Jan 18: Journalists in different districts of Khyber Pakhtunkhwa and tribal areas held protest demonstrations against killing of their colleague Mukarram Khan Atif, who was shot dead by unidentified 
    ",18/01/2012
Man confesses to Islamabad hospital killings,"NOWSHERA, Jan 18: An alleged drug smuggler from Rawalpindi on Wednesday confessed to local police that he had killed afederalsecretary`s mother and sister at Islamabad`s Pakistan Institute of Medical Sciences (Pims) last Saturday. 
    ",18/01/2012
Tribesmen fire at US drones in Miramshah,"MIRAMSHAH, Jan 17: Annoyed with the silence of the government and others over the US drone intrusions, gun-totting tribesmen took things in their hands on Tuesday and fired at the drones that appeared over 
    ",18/01/2012
JUI-F slams militancy in tribal areas,"KHAR Jan 19: Jamiat Ulema-i-Islam (JUI-F) has condemned the militants’ activities in the tribal areas and said that some elements wanted to create lawlessness and terrorise the local people. 
    ",19/01/2012
Man gets life for murder,"KARAK, Jan 19: The district and sessions judge Karak on Thursday awarded death sentence to a man involved in the killing of six women. The court acquitted the brother of the convict in the same case. 
    ",19/01/2012
Ijaz in bizarre video,"A music video has surfaced featuring Ijaz as commentator for a women’s wrestling bout that ended with a 30-second clip featuring full nudity. 
    ",19/01/2012
Protest against journalist’s killing,"QUETTA, Jan 20: The Balochistan Union of Journalists (BUJ) and Hazara Democratic Party (HDP) held demonstrations on Friday in protest against the killing of journalist Mukarram Khan Atif and kidnapping of 
    ",20/01/2012
AJK medical colleges: Quota system challenged,"MUZAFFARABAD, Jan 20: The AJK High Court here on Friday admitted for regular hearing a petition filed by five girl students, challenging the govt’s decision to give admissions in the region’s two nascent medical 
    ",20/01/2012
Gangs of fraudsters’ busted,"ISLAMABAD, Jan 20: Two women were arrested from the limits of Bhara Kahu police station as they were trying to sell fake gold. Whereas, two fraudsters who were involved 
    ",20/01/2012
Auto-mechanic killed by friends,"RAWALPINDI, Jan 20: An auto-mechanic was killed by two friends in Saddar Brooni police area on Friday, police said. 
    ",20/01/2012
"Four militants, two security men killed in Khyber incidents","LANDI KOTAL/PESHAWAR, Jan 20: Four militants and two security men were killed in different incidents in Khyber Agency while an elder of Mohmand tribal region was shot dead in Peshawar on Friday. 
    ",20/01/2012
Arrest of journalist’s killers demanded,"SWABI, Jan 20: The journalists’ community of the district held separate meetings on Friday to condemn the killing of tribal journalist Mukarram Khan Atif. 
    ",20/01/2012
‘Rape victim’ gives birth as court battle continues,"PESHAWAR, Jan 20: An alleged gang rape victim engaged in a legal battle for justice against around a dozen people, including policemen, gave birth to a baby girl at Hayatabad Medical Complex (HMC) late on 
    ",20/01/2012
Dispute claims life,"TIMERGARA, Jan 20: A man was killed while his three nephews were injured when their rivals attacked them with daggers and sticks at Talash on Friday, residents and police told Dawn. 
    ",20/01/2012
Police launch search Six students go missing,"RAWALPINDI, Jan 21: Police here on Saturday launched a hunt for six students of a school, three of them girls, who went missing on Thursday. 
    ",21/01/2012
`Gang rape` case Court orders inquiry into taking away of newborn,"PESHAWAR, Jan 21: The Peshawar High Court on Saturday ordered judicial inquiry into the unauthorised taking away of an alleged gang rape victim`s newborn baby by the Provincial Commission on the Status of 
    ",21/01/2012
4 security men hurt in Mohmand blast,"GHALANAI, Jan 21: Four security men received injuries when their vehicle was targeted with a remote controlled bomb near Mian Mandi Bazaar in Haleemzai tehsil of Mohmand Agency on Saturday. 
    ",21/01/2012
Committee to probe foreigners` kidnapping,"MULTAN, Jan 21: Punjab police on Saturday constituted a five-member committee to investigate the case of two workers of a German non-profit organisation who had been kidnapped from their residence in Multan on Thursday. 
    ",21/01/2012
Three dacoities in Toba,"TOBA TEK SINGH, Jan 21: Over a dozen dacoits took away valuables worth over Rs1. 
    ",21/01/2012
Bullet-riddled bodies a matter of concern: governor,"QUETTA, Jan 22: Balochistan Governor Nawab Zulfiqar Ali Magsi has asked the government to take action against influential elements backing criminals involved in kidnappings for ransom, highway robberies and other heinous crimes. 
    ",22/01/2012
Collision leaves three dead,"CHAKWAL, Jan 22: Three persons were killed and 16 other received serious injuries as a trailer hit Faisalabad-bound passenger bus in the Salt Range area of Kallar Kahar on Sunday. 
    ",22/01/2012
Police widen search for missing students,"RAWALPINDI, Jan 22: The police have enlarged the scope of their hunt for the six students, including three girls, who went missing on Thursday under mysterious circumstances and decided to investigate some other pupils of the institution after parents of  
    ",22/01/2012
Militants killed by own bomb,"LANDI KOTAL/BANNU, Jan 22: Two militants were killed in a bomb blast in Zakakhel Banjwal area of Khyber Agency on Sunday, sources said. 
    ",22/01/2012
Students on escapade found in Peshawar,"RAWALPINDI, Jan 23: The six students — three boys and three girls - who went missing here on Thursday were recovered from a hotel in Peshawar on Monday night, police and their parents said. 
    ",23/01/2012
Five killed in Jamrud shootout,"LANDI KOTAL, Jan 23: At least three kidnappers and two security men were killed in a daylong shootout in Jamrud tehsil of Khyber Agency on Monday. 
    ",23/01/2012
Bomb in school debris kills khasadar in Khyber,"LANDI KOTAL, Jan 24: A security man was killed and two persons were injured when a bomb, buried under the debris of a destroyed school, went off in Landi Kotal tehsil of Khyber Agency on Tuesday. 
    ",24/01/2012
Avalanche claims five lives in Kohistan,"MANSEHRA, Jan 24: Five persons were killed and two others received injuries when an avalanche fell on a house in Dobair area of Kohistan on Tuesday, police said. 
    ",24/01/2012
"Four suspects arrested, arms seized","QUETTA, Jan 23: A Frontier Corps team raided a place at Gulistan area in Qila Abdullah district on Monday and arrested four suspects and seized a large quantity of arms, sources said. 
    ",24/01/2012
4 killed in US drone attack,"MIRAMSHAH, Jan 23: Four suspected militants were killed when a US drone attacked a car in Momedkhel area in North Waziristan Agency on Monday. 
    ",24/01/2012
Hunted man’s luck outlasts his hunter’s,"ISLAMABAD, Jan 25: Police arrested here on Wednesday a man wanted for ordering the killing of an under-trial prisoner who, however, survived three attempts on his life. 
    ",25/01/2012
Two burnt in house fire,"RAWALPINDI, Jan 25: A mother and her three-and-a-half-year-old daughter were slightly burnt after being trapped in a fire that erupted in their house on Wednesday night. 
    ",25/01/2012
22 militants killed,"PARACHINAR, Jan 26: Twenty-two militants were killed and as many security personnel injured in a gunfight in Jogi area of central Kurram Agency on Thursday, official sources said. 
    ",26/01/2012
Policeman shot dead in Karachi,"KARACHI, Jan 27: A police constable was shot dead near a medical store in the city’s Aram Bagh area on Friday night 
    ",27/01/2012
FC man killed in Dera Bugti,"QUETTA, Jan 27: A security man was killed and another injured in a landmine blast and an exchange of fire with unidentified men in the Uch gas field area of Dera Bugti district on Friday 
    ",27/01/2012
Policeman kills Afghan driver,"PESHAWAR, Jan 27: A police constable on Friday shot down an Afghan trailer driver on Ring Road in the provincial capital 
    ",27/01/2012
Eight injured on road,"NOWSHERA, Jan 27: Eight persons sustained injuries in a road accident here on Friday 
    ",27/01/2012
"Security men hurt in Kohat, Khyber Policeman, attacker killed in Dera firing","DERA ISMAIL KHAN, Jan 28: A policeman and an attacker were killed in exchange of fire in Dera Ismail Khan city here on Saturday, sources said. 
    ",28/01/2012
"Woman, son killed as car hits bike","TOBA TEK SINGH, Jan 28: A 40-year-old woman and her 18-year-old son were killed in an accident on Pirmahal-Shorkot Road near Chak 333-GB on Saturday. 
    ",28/01/2012
Shot dead,"FAISALABAD, Jan 28: Three unidentified people gunned down a man near toll plaza on Khurrianwala-Faisalabad Road on Saturday night. 
    ",28/01/2012
Man dies after consuming liquor,"KARACHI, Jan 29: A man died and five others were reported to have fallen unconscious after consuming contaminated liquor in Qayyumabad area of the city on Sunday night. 
    ",29/01/2012
Three killed in Dera Bugti attack,"UETTA, Jan 29: Three tribal volunteers including a 'commander' of a pro-government 'peace force' were killed when some armed men attacked their checkpost in Dera Bugti district on Saturday night. 
    ",29/01/2012
"Driver killed, passengers hurt as forces open fire in Bara","LANDI KOTAL, Jan 29: A driver was killed and eight passengers received injuries when security forces opened firing on a vehicle in Bara tehsil of Khyber Agency on Sunday. 
    ",29/01/2012
Two die in Gujar Khan,"GUJAR KHAN, Jan 30: A physically handicapped man shot his wife dead and also ended his own life by shooting himself in village Sui-Chemian on Monday 
    ",30/01/2012
Pesco officials among 13 kidnapped in Peshawar,"PESHAWAR, Jan 31: Unidentified armed men kidnapped 13 persons including three Pesco officials in Badhber area on the outskirts of Peshawar on Tuesday, police said. 
    ",31/01/2012
Two girls killed in Jaffarabad,"QUETTA, Jan 30: Two young girls were killed and a man was injured in an armed attack in Usta Mohammad area of Jaffarabad district on Monday 
    ",31/01/2012
Taliban kill three policemen in ambush,"LAKKI MARWAT, Feb 2: Three constables were killed when Taliban attacked the vehicle of a police patrol on the Bannu-Dera Ismail Khan road near Darra Pezu town on Thursday 
    ",02/02/2012
Three killed in ambush,"PESHAWAR, Feb 2: Armed men opened indiscriminate fire at a passenger van at Hazar Khwani area in the suburbs of Peshawar on Thursday evening, killing three persons and injuring one 
    ",02/02/2012
Landmine kills two policemen,"QUETTA, Feb 4: Two policemen were killed and a passer-by was injured when a landmine exploded in the Manjhoti area of Nasirabad district on Saturday. 
    ",05/02/2012
Five killed as jeep veers off road in GB,"GILGIT, Feb 4: Five people two women and two children among them were killed while eight others were critically injured when the jeep they were traveling in fell into a deep ravine in Hopar valley of Nagar, some 55 kilometers southeast of Gilgit on Saturd 
    ",05/02/2012
Man kills father,"KARAK, Feb 4: A man allegedly shot dead his father over a domestic issue in Jandri area of Karak here on Saturday.The police registered a case on the report of Amal Bibi, wife of the deceased, Malik Muqadar Khan, against her son Habibullah. 
    ",05/02/2012
Man held for selling sub-standard seeds,"SAHIWAL, Feb 4: A joint team of Fateh Sher police and the agriculture department during a raid on Saturday arrested a person for selling substandard corn seeds and pesticides worth Rs350,000 on Kacha Noor Shah Road. 
    ",05/02/2012
4 killed in Peshawar blast,"PESHAWAR, Feb 3: Four people were killed and several others injured in a car bomb attack on the house of a tribal elder in the city’s Peshtakhara area on Friday evening. 
    ",05/02/2012
Two children injured in shelling,"PESHAWAR, Feb 6: Hangers at a helipad near a paramilitary base in North Waziristan were damaged in a rocket attack on Saturday night. 
    ",06/02/2012
"Militant attack in Kurram: Soldier killed, 12 injured","PARACHINAR, Feb 6: A soldier was killed and 12 injured after militants attacked a vehicle of security forces in Shaheedano Dhand area of Lower Kurram Agency near Pak-Afghan border on Monday. 
    ",06/02/2012
Grenade attack on tyre shop,"QUETTA, Feb 8: Four people were wounded when unidentified men hurled a grenade attack into a tyre shop in the Zarghoon road area on Wednesday evening, officials said. 
    ",08/02/2012
Trader killed as groups clash in Peshawar,"PESHAWAR, Feb 8: One trader was killed and three others sustained injuries when two groups of shopkeepers opened fire on each other at Shaheen Bazaar here on Wednesday, police said. 
    ",08/02/2012
"Alleged rape case: Court orders better security for victim, baby","PESHAWAR, Feb 15: The Peshawar High Court on Wednesday directed the capital city police chief to further enhance the security of an alleged rape victim and her baby girl until a DNA test is performed on the infant to 
    ",15/02/2012
"Man killed, five injured in Jamrud blast","LANDI KOTAL/GHALANAI, Feb 15: One person was killed and five others received injuries when a remote controlled bomb went off at a market in Jamrud tehsil of Khyber Agency on Wednesday. 
    ",15/02/2012
Chinese woman among two shot dead in Peshawar,"PESHAWAR, Feb 28: Two unidentified armed men killed two people, including a Chinese woman, in busy Jahangirpura Bazaar on Tuesday evening and fled. 
    ",28/02/2012
Two injured in exchange of fire in GB,"GILGIT, Feb 27: Two people were injured following an exchange of fire between two groups over a land dispute in Chilmish Das, some 15km south of Gilgit town on Monday, police said. 
    ",28/02/2012
PPP activist shot dead,"KARACHI, March 7: An activist of the Pakistan People’s Party was shot dead and a young boy injured here on Wednesday night. 
    ",07/03/2012
Suicide attacker kills tribal elder,"KALAYA, March 9: An unidentified man, with explosives strapped to his body, shot dead a pro-government elder in a market near Kalaya in Orakzai on Friday and then blew himself up when members of a peace committee tried to capture him. 
    ",09/03/2012
Armyman held with ammunition,"ISLAMABAD, March 13: The capital police arrested a serving armyman after recovering hand grenades and SMG (submachine gun) bullets from his possession. 
    ",13/03/2012
Two die in road accidents,"RAWALPINDI, March 13: A university student and a pedestrian were killed in separate accidents on Adiala on Tuesday. 
    ",13/03/2012
Afghan ‘hired assassin’ arrested in Peshawar,"PESHAWAR, March 13: Police on Tuesday claimed to have arrested an Afghan 'hired assassin' from a private medical centre at Dabgari Garden here and recovered a pistol from his possession. 
    ",13/03/2012
Militants kill three tribesmen in Tirah,"LANDI KOTAL, March 13: Four persons including a militant commander were killed and five people were injured in separate incidents in Khyber Agency on Tuesday. 
    ",13/03/2012
Four killed in Balochistan violence,"QUETTA, March 26: Four people, among them a security man, were killed in separate incidents in Balochistan on Monday, sources said. 
    ",26/03/2012
Scores injured during LHWs’ protest,"ISLAMABAD, March 26: Over a dozen protesting lady health workers were injured in a clash with the police here on Monday. 
    ",26/03/2012
Ex-DSP shot dead in Swat,"MINGORA/GHALANAI, March 27: Unidentified persons shot dead a former police officer in Kanju Township of Swat district on the night between Monday and Tuesday. 
    ",27/03/2012
Assailants free accomplice from police custody in GB,"GILGIT, March 27: Masked gunmen on Tuesday attacked a policy party injuring two policemen and taking with them a prisoner who was being taken to hospital. 
    ",27/03/2012
Boy shoots father dead,"RAWALPINDI, April 4: A man was shot dead by his son in Dhoke Lukhan, Dhamial Road on Wednesday. 
    ",04/04/2012
"Policemen, passers-by injured in Kohat clash","KOHAT, April 4: Two policemen and as many passers-by were injured in firing when two groups clashed in Raisan bazaar in Hangu on Wednesday. 
    ",04/04/2012
Seven killed in Haripur road crash,"HARIPUR, April 11: At least seven people, including two women, were killed and eight others injured when a speeding passenger coach collided with a van near Shah Maqsood village on G.T. road here on Wednesday. 
    ",11/04/2012
Family feud blamed for Mardan hotel murders,"MARDAN, April 20: The mystery surrounding murder of four people, including two children, in a hotel room here was resolved when father of the slain man approached city police station and registered an FIR against six persons on Friday, police said. 
    ",20/04/2012
GB police officials to face probe over Chilas killings,"GILGIT, April 20: A high-level committee will conduct inquiry against former superintendent of police of Diamer district Mr Jamshed and deputy superintendent of police Muslim Khan for failing to protect the passengers on Karakuram Highway on April 3. Abou 
    ",20/04/2012
Militants target girls school in Jamrud,"LANDI KOTAL, April 20: Unidentified miscreants blew up a government girls’ school in Jamrud tehsil of Khyber Agency on the night between Thursday and Friday. 
    ",20/04/2012
Six injured in Karachi attack,"KARACHI, April 21: At least six people were injured in firing on a tea stall near Askari Park here on Saturday night. 
    ",21/04/2012
114 bodies handed over to heirs,"ISLAMABAD, April 21: The Pakistan Institute of Medical Sciences (Pims) has identified 118 bodies of the air crash victims and handed over 114 of them to their heirs on Saturday. The remaining four have not been claimed yet. 
    ",21/04/2012
Five preachers gunned down in Allai,"MANSEHRA, April 21: Five persons were killed and another four suffered critical injuries when a member of Tableeghi Jamaat opened firing on his associates and local residents in Pashto area of Allai on Saturday. 
    ",21/04/2012
Security man injured,"TANK, April 21: A security man was injured and a vehicle was destroyed in two separate roadside explosions in Tank and Frontier Region of Jandola on Saturday, sources said. 
    ",21/04/2012
Murder sparks protest,"FAISALABAD, April 21: A large number of people from Samana, Rasoolpur and adjoining areas of Sargodha Road staged a demonstration, thrashed policemen and damaged private vehicles after robbers gunned down a shopkeeper here late on Friday night. 
    ",21/04/2012
Six policemen injured in Mardan blast,"MARDAN, April 27: A station house officer and five other police officials were injured when their van was hit by a remote-controlled bomb at Sharaopul in Pishkando area here on Friday, officials said. 
    ",27/04/2012
Two killed on road,"KARAK, April 27: Two persons were killed and three others injured in a road accident on Indus Highway here on Friday. 
    ",27/04/2012
Terrorists kill Hazara man in Mastung,"QUETTA, May 6: Gunmen shot dead two people, including a member of the Hazara community, in two different areas of Balochistan on Sunday. 
    ",06/05/2012
Two die as house catches fire,"TIMERGARA, May 6: Two persons were killed when fire broke out in a house at remote Dodya Khawar village of the Adenzai tehsil on Sunday night, residents told Dawn. They said house of one Shahab ud Din caught fire due 
    ",06/05/2012
Miramshah militants refuse to hand over weapons,"Tribal elders handed over to the political authorities heads of two soldiers who had been killed during clashes with militants in North Waziristan. 
    ",09/05/2012
10 militants killed in Tirah aerial strikes,"LANDI KOTAL/LADDHA, May 9: At least 10 militants were killed and eight other injured when jet planes targeted their hideouts in Tirah valley of Khyber Agency on Wednesday. 
    ",09/05/2012
"20 militants, peace volunteer killed in Fata clashes","LANDI KOTAL, May 14: Twenty militants and a peace volunteer were killed and several other persons including two security men received injuries during clashes in different parts of Federally Administered Tribal Areas on Monday 
    ",14/05/2012
Cleric held after bail cancelled,"MANSEHRA, May 14: Police on Monday arrested cleric Maulana Faizul Bari from the courtroom after additional sessions judge Abid Sarwar cancelled his pre-arrest bail in a murder case 
    ",14/05/2012
Two women killed,"QUETTA, May 19: Two women were killed in Jaffarabad district on Saturday in the name of karo-kari, reports said. 
    ",19/05/2012
‘Militant’ killed in Khyber,"LANDI KOTAL, May 19: Security forces killed a suspected militant and apprehended another during a search operation in Jamrud area of Khyber Agency on Saturday. 
    ",19/05/2012
Protesters say it was ‘staged’: Two killed in ‘encounter’ with CIA police,"FAISALABAD, May 19: Police claimed to have gunned down two alleged criminals near Sidhar Bypass Chowk on Friday night in a ‘crossfire’, while the family members and relatives of those killed alleged in a protest demo that the ‘encounter’ was staged. 
    ",19/05/2012
